Parametro,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic,anno,Stazione
Precipitazione cumulata,31,29,30,30,29,22,29,31,28,29,28,31,2008,Pescara
Precipitazione cumulata,26,20,28,29,29,29,29,24,30,31,28,31,2009,Pescara
Precipitazione cumulata,31,27,28,26,31,30,30,31,30,30,30,30,2010,Pescara
Precipitazione cumulata,30,28,31,26,28,29,29,31,30,30,30,31,2011,Pescara
Precipitazione cumulata,30,28,30,30,31,30,30,30,27,31,30,31,2012,Pescara
Precipitazione cumulata,31,28,31,28,25,30,27,30,28,27,28,27,2013,Pescara
Precipitazione cumulata,27,27,30,29,27,14,27,30,27,29,26,18,2014,Pescara
Precipitazione cumulata,25,,,,1,,,,,,,,2015,Pescara
Precipitazione cumulata,,28,30,29,29,29,31,31,30,31,30,30,2016,Pescara
Precipitazione cumulata,30,28,31,29,25,29,31,31,30,31,30,31,2017,Pescara
Precipitazione cumulata,31,28,29,30,31,29,31,31,30,29,30,31,2018,Pescara
Precipitazione cumulata,31,28,31,30,31,30,31,29,30,28,29,30,2019,Pescara
Precipitazione cumulata,30,29,31,30,31,1,,,,,,,2020,Pescara
